1Слоган “|Рукописи не горят|!” очень скоро сменился на рекламных растяжках слоганом “Хранить вечно”, и экранизация “В круге первом” (“Россия”) включилась в вынужденную конкуренцию с новой телеверсией “Золотого теленка” (Первый канал).
0≉ ≈Отношение Пушкина к атеизму и религии≉ ≈■≉ ≈Известно, что, пережив в юности увлечение Вольтером и его скептической философией, а позже взяв несколько «уроков |чистого афеизма», Пушкин в конце концов пришел |к отрицанию атеизма и материализма.
0≉ ≈Плачет маленький |теленок Под кинжалом мясника, Рыба бедная спросонок Лезет в |сети рыбака.
0≉ ≈Покой| нам только снится // КП.|
0≉ ≈Помимо звукового образа всего стихотворения Крученых (особенно первой и двух последних его строк), первые| два стиха Маяковского практически полностью анаграммируют саму фамилию Крученых — если понимать букву «щ» не как традиционное |московское «ш» долгое мягкое, а как петербургское «ш’ч’» 76 , то в этих строках для полной анаграммы недостает лишь буквы (или звука) «н» 77 .
0≉ ≈Последний роман, выпущенный под |собственным именем Рыбакова, вышел, как мы уже |упоминали, в 2000 году.
0≉ ≈Послушайте|, если комсомол распускают, значит, это кому-нибудь нужно?|
0≉ ≈Похоже, высшие руководители |родились Новыми людьми, тогда как лидеры следующего уровня ими| стали.
0≉ ≈Русский (советский) коммунизм с его хилиастическими ожиданиями тысячелетнего счастья на| земле и установкой на модернизацию стал окончанием и в то же время закономерным результатом послепетровской| традиции.
0≉ ≈С тех пор «чужое слово» |прочно укоренилось в качестве термина, так что не всегда вспомнишь, что выражение это пришло из текста, далекого |от притязаний на научность.
0≉ ≈Сама по себе переписка |О. и Л. Брик является (за исключением буквально нескольких писем) довольно сухой хроникой их, по большей части, деловой жизни|.
0≉ ≈Следы интенсивных, сумбурных переживаний и мыслей о катастрофе| присутствуют в романе, именно поэтому в нем так много всего собрано и намешано|.
0≉ ≈Сопоставление| это не только натянуто.|
0≉ ≈Стараниями Иванова-Разумника|, замечательного дипломата, в стане “скифов” был восстановлен мир|.
0≉ ≈Суть |в том, что федоровский проект в совершенном своем| исполнении не допускает инобытия, которое было бы независимо от воли человека.
0≉ ≈Так, в редакции «Декларации слова как такового», приготовленной в 1917 году, Крученых вводит пункт, отсутствовавший как в предшествовавшей редакции (1913), так |и в последующей (1921): «В заумной поэзии достигается высшая и окончательная всемирность и экономия — (эко-худ) пример: хо — бо — ро» |71 .
0≉ ≈Тем самым мы получаем возможность попробовать свои силы в том, что с такой наивностью проделал Бурлюк, расшифровывая — напомним| — первую строку в собственной интерпретации как «дырой будет уродное| лицо счастливых олухов».
0≉ ≈Уместно в этой связи привести |фрагмент из воспоминаний Льва Славина: «С годами Бабель <… > стал писать проще <…> Он избавлялся от стилистических преувеличений.|
0≉ ≈Упомянутое програмное стихотворение “Разговор с небожителем” (1970|) служит своеобразной антитезой набоковскому “Демону|”.
0≉ ≈Хотелось бы услышать ответ на такой вопрос: не сводятся ли все эти интересные суждения к одной из |форм разрешения вопроса о соотношении фольклора и индивидуального| творчества.
0≉ ≈Что |нам стоит Сибирь строить // И|.
0≉ ≈Эта «занимательная|» наука получает у двух разбираемых нами исследователей |сущностно различные обозначения.
0≉ ≈Я б| в заложники пошел, или “Пионерский отряд” |на Пушкинской // МП.
0≉ ≈Я люблю этот город|, уставший от слез… // КП.|
0≉ ≈Я| б в рабочие пошел // МП.|
0≉ └ Вытряслось┘[…] └тарифной сетки метра три… ┘– Тарифная сетка – предмет забот летуна, под определение которого в общем подходит Володя (в примечаниях к первому сну Телескопова: “Выгодная тарифная сетка была целью желаний |так называемых летунов, постоянно меняющих место| работы.
0≉ ┘   То| есть – прямо указывал на “нерусскость” представителей славянофильского |кружка.
0≉ ┘ Внимание докладчика привлек финал упомянутого в заглавии стихотворения Пастернака: “Этим| звездам к лицу б хохотать, / Ан вселенная| место глухое”.
0≉ ┘ Этот| декларативный космополитизм, противопоставленный, несомненно, национализму Руссо, который космополитизм презирал, целиком принадлежал|, однако, просвещенческой парадигме.
0≉ 16) Имеются в виду Александр Ципко (р. 1941) — политолог, в 1991 году — заместитель директора Института международных| экономических и политических исследований АН СССР, с 1992 года — директор Центра политологических программ Фонда Горбачева, и Юрий Афанасьев (р. 1934) — историк, в 1991—2003 годах — ректор Российского государственного гуманитарного| университета.
0≉ 19) Сотрудник радиостанции “Эхо| Москвы” Матвей Ганапольский в период, когда были сделаны эти записи, был известен прежде всего как ведущий цикла передач-интервью с известными деятелями науки, культуры и |общественной жизни “Бомонд”.
0≉ 20) Хотя| в 1951 году был организован смотр |спектаклей на современную тему.
0≉ 3) Об этих |понятиях в “петербургском тексте” вообще см.: └Смирнов |И.П.
0≉ 41) Это примечание добавлено|, скорее всего, в 1960-е годы.|
0≉ 5) Таково, например, “новое живописное миропонимание|” Бурлюка и его сподвижников в изложении мемуариста: “Искусство, – говорил он <Бурлюк|.
0≉ 74) |Политическая астрология, или Не доиграли // Век.|
0≉ А |вон и пни по берегу запруды|.
0≉ Безграничный деспотизм, чувство абсолютной правоты также описывались Достоевским |в образах массовой, всепланетной эпидемии| – речь идет о знаменитом “бреде Раскольникова”22■.
0≉ Безумно| интересно наблюдать, как ведут себя литераторы в новых| условиях.
0≉ Беспощадная метла сталинских репрессий не щадила никого|, даже самых верных сторонников советской власти и| коммунистической идеологии.
0≉ В заметке о Всемирном Дне |пожилого человека, введенном ООН, есть пассаж: “Сказано: молодость дается всем, старость – |избранным.
0≉ В конечном счете, под воздействием финального «парада взглядов», череды откровенно интимизированных крупных планов, Мельников решает не покидать трибуны – но решает не навсегда, а только «до понедельника», на который он назначает разговор об очередном| бессмысленно-героическом эпизоде русской истории: о |восстании декабристов.
0≉ В твоем саду нет| больше роз!” – ≉ “Вы позабыли, что шипы ≉ Остались мне”, – сказал |Христос.
0≉ В ходе обсуждения самый простой, но в то же| время и самый актуальный вопрос задал О.А.|
0≉ Верно, что на некоторое количество камней| преткновения неизбежно натолкнется в повести |и сегодняшний читатель.
0≉ Для нашего |разговора важно, что между тобой и мной речь не идет о предъявлении претензий на наследство.|
0≉ Если речь Долинина носила скорее мемуарный| характер, то Тименчик, можно сказать, изложил свое исследовательское |кредо.
0≉ Есть отдельные случаи, когда затрудняешься ответить, кому из семьи Быкова–Лукьяновой принадлежит фраза, но она от |этого не становится менее смешной: “Сорокалетний Чуковский уже полностью поседел и очень| устал” (с.
0≉ Есть подозрение, что государству эта| свобода слова сейчас технически нужнее, чем самим подданным|.
0≉ Здесь пиршественный|, “кабацкий” хохот уже отчетливо определен как “|зараза”, как “эпидемия” (хотя слово “чума” и не произнесено).
0≉ Зейдлиц связывает этот текст с грустным настроением начала 1823 года, обусловленным расставанием Жуковского с А. Воейковой: “Шутками старался скрывать предстоящую └разлуку с милой племянницей┘, которая положила └уехать┘ с детьми в Дерпт к матери |и сестре └для восстановления здоровья|┘, └расстроенного горестною семейною жизнью┘”14■.
0≉ И из шипов| они сплели ≉ Венок колючий для него, ≉ И капли крови| вместо роз ≉ Чело украсили его.
0≉ И это |действительно близко – в той степени, в какой литература занята тем же, чем религия, – речи Ветхого Завета|.
0≉ И, принимая понимание Шкловского, К|. Зелинский делает из него формально правильный вывод: “|…футуристы наглядно довели до абсурда то, о чем всерьез помышляли символисты.
0≉ Как ни парадоксально, именно оценочность|, утрированная резкость, отчетливость выбора делают роман |Солженицына многозначным.
0≉ Клаустрофобия якобы известного, само собой разумеющегося, много раз повторенного, задурманивающая читателя| в том, что Пригов называл “народным промыслом” в литературе (вытачивание| текстов по старым болванкам), распадается.
0≉ Книга снабжена обширным библиографическим приложением (|разделы: “Литературное и критическое наследие Л.Д|.
0≉ Лучших, даже талантливых, └было ┘много, └|остались ┘– единицы, только самые смелые: “вакансия поэта” потому всегда опасна |в России, что никогда не пуста.
0≉ Милая |Зинаида Николаевна, Вы правы: и я не “обуреваем самоотверженной любовью ко всем несчастным малым сим, |в первую голову” 11 .
0≉ Наконец, сам господин Никонов, |соиздатель “Колокольчика”, также попробовал силы в |поэзии!
0≉ Нарушает он и другое правило – он| не сообразуется со вкусом.|
0≉ Но ведь, с другой стороны, позитивизм – |это целая эпоха, и эпоха немалая – вся вторая половина XIX в|.
0≉ Ноги в традиционном психоанализе – это одна из метафор сексуальности  [27]  , и потеря ног (как и носа, по Гоголю) часто |трактуется как образ символической кастрации или как утрата гегемонного |статуса  [28]  , репрезентацией которого всегда выступала военная форма.
0≉ О том, насколько страшными| были эти годы, говорит хотя бы такая отмеченная Деминым деталь|.
0≉ Объясняется| столь значительное преимущество Маяковского над остальными модернистами |тремя главными причинами.
0≉ Однако и в |изолированном слове остаются все-таки синтаксические флексии, и Хлебников со |своей феноменальной последовательностью стремится все синтаксические флексии истолковать как словообразовательные.
0≉ Однако именно у Мандельштама Скандиака подхватывает его “бергсоновский” и вполне биологический образ непрерывного потока жизни и поэзии: ≉  ≈В пучинах луковицы луч от имярека, ≉ ≈Но и в излучинах проточной (страсти) речи ≉ ≈Сутулой стражей – чуждые названья… ≉ ≉  И, конечно, Скандиака, со своей “тоской по природе”, не может пройти мимо бергсоновского порыва, “пущенного| наоборот” в стихотворении “Ламарк”, – и называет одно из своих| произведений “Зеленая могила”.
0≉ Освободившись от крепких объятий всем известного паренька по имени Кондрашка, представшего мне по| зиме девяносто девятого в образе омерзительного в своем коварстве сеньора Инфарктуса Миокардия, и проведя| из соображений самосохранительных едва ли не полгода в домашнем уединении, я наконец вышел на службу.
0≉ Очерченная нами идеология “|ученой республики” требовала интеллектуальной независимости литератора от “земных| владетелей”.
0≉ Память о ссыльных и заключенных друзьях, вопреки царскому благоволению и благодаря ему|, стала делом чести; потому Мнемозина, не знающая страха перед запретами, даровала свои милости и| царю богов, и изгнаннику 66 .
0≉ Поэзия — это |и не перформанс, сопровождающийся невероятным шумом вокруг пустоты|.
0≉ Реальность же состоит не в |выдуманном критиками “русском постмодернизме”, но |в глубокой социальности его поэзии.
0≉ Самые первые письма, которые герои пишут друг другу в контексте произведения, появляются в повести, относящейся ко второй части “Вечеров”, – “Иван Федорович Шпонька и его тетушка”.≉ Подпоручик Шпонька получает от |тетки “письмо такого содержания: “Любезный племянник| Иван Федорович!
0≉ Сложнее определить, насколько Блок хитрил, когда в финале второй главки своей| статьи признавался, что он не знает, “считала ли” “|сама себя “акмеисткой”” (180) Анна Ахматова.
0≉ Советский писатель как раз и формировался как функционер-производитель “художественной продукции”, |прежде всего “отражающей интересы покупателя|”.
0≉ Сопротивление |обеих героинь оказывается сломлено ласковыми речами |возлюбленных.
0≉ Так |Пушкин создает образ невиданного насилия над “российским пространством”|.
0≉ Таким образом, партизан является новой фигурой |современных военно-политических столкновений, но, парадоксальным образом, являет собой защитника именно традиционного порядка, хотя|, как отмечает Тимофей Дмитриев, он и мог “появиться только в современных условиях” (с.
0≉ У нас есть для этого все возможности, и, на мой взгляд, та кутерьма, катавасия, та кампания постоянного давления на этот дискурс, на этот язык гуманитарных технологий, вот эта атака, которая производится постоянно на протяжении уже где-то, наверно, десяти лет, эта антироссийская атака – это одна |из главных, ключевых операций против России┘ 71 .|
0≉ Уже при знакомстве с предыдущими томами припоминались слова поэта о “куще сплетенных ветвей” – столь велико множество прослеженных здесь писательских судеб, от самых знаменитых до почти, а то и просто неизвестных (не раз и не |два заметки о таковых, в отличие от прочих, не сопровождаются портретами: |не обнаружены, если вообще существовали).
0≉ Уточняя свое понимание того, что есть “марксистская психология”, Выготский писал: ≉ …Наша наука в такой мере будет становиться марксистской, в какой| мере она будет становиться истинной, научной; и именно над превращением ее в| истинную, а не над согласованием ее с теорией Маркса мы будем работать.
0≉ Характерное для Ахматовой дробление какой-либо темы и распределение ее по разным, отстоящим| во времени, но связанным между собою| сегментам поэтического текста позволяет Тименчику сближать, казалось бы, несовместимые тексты.
0≉ Читая Сабурова, то “натыкаешься” |на “пастернаковский” “голубенький воздух” 72 и вспоминаешь “и воздух синь, как узелок с бельем / у выписавшегося из больницы”, то |на “пастернаковские” “лампионы” 73 .
0≉ Чрезвычайно расширенное понимание префикса сказывается в словотворческих| опытах, составляющих девятую плоскость (главу) “Зангези” (СС, V|, 322—325).
0≉ Этот классический дуэт так давно спелся, что звучит как соло: одна на двоих смертельная дуэль, на каждого – по “пророку”, у каждого – по Демону, Пушкин, правда, уточняет: “Мой демон”, а Лермонтову| и уточнять не надо, и так все ясно: притяжательное |местоимение “мой” переведено в личное: “я”.
0└Демон┘ и └гений ┘здесь объединены единым контекстом – довольно |неожиданным в “средневековой” драме античным кругом образов, связанных с поэтическим творчеством (сады, нимфы, |музы).
0└Мы, здесь-не-стоявшие, не имеем оснований верить в слово| как в абсолютное добро.|
0┘|Поэт неслучившейся революции (О Владимире Маяковском).|
0┘≉ ≈■≉ ≈Том |Романа Тименчика ошеломляет блестящей эрудицией и знанием |предмета.
0┘Les sources de la └zaum┘’ chez Krucˇenych et Chlebnikov // Заумный футуризм и| дадаизм в русской культуре / Под ред.|
0┘The Tourist: A New| Theory of the Leisure Class|.
0┘А| географию и подавно постигали в |натуре.
0┘Армадилло как экстрим сетевого письма // http://zhurnal|.lib.ru/t/tajganowa_t_e/armadillo.shtml ≉ ≈ ■2 Комментарии к статье “Философия пустоты”: http://zhurnal.lib.ru/comment|/t/tertyj_a/blacksq ≉ ≈ ■3 “Самиздат” Максима Мошкова: http://zhurnal.lib.ru/ ≉ ≈ ■4 └Виноградов А┘.
0┘К прениям 1830-х гг.| о русской столице // Лотмановский сборник.|
0┘Стихотворный триптих А. Крученых // Проблемы вечных ценностей |в русской культуре и литературе ХХ| века.
0┘Труд и сдерживание желаний теперь уже| не должны обязательно предшествовать потреблению.≉ Стремление к комфортному обустройству частной жизни требует перевода политики и истории в| некий новый план -- план виртуального.
01 (Ф|. Сизый).≉ ≈Если телецентр штурмуют, значит это кому-нибудь| нужно?
01) ≉ ≈Цитата |из Пушкина весело обыгрывала репутацию Вагнера как “Кота Мурлыки|” — автора популярных детских сказок (первое издание 1872 г.).
0½) и перепечатан в|: Антология новейшей русской поэзии “у Голубой Лагуны”|.
010 наконец разъясняется, о чем, собственно, эта книжка: “Под └национальным┘ в настоящей работе понимается как собственно национальное, так| и “русское”, в зависимости от контекста.|
0106–111).≉ ≈ ■7 Спустя более полувека Е|. Замятин напишет повесть «Уездное» (1911), в которой, как и у Островского, именно «уездный дух» станет олицетворением| российской косности, «энтропии».
0117–124)|.≉ ≈ [8] Осенью 1949 года газета Советской военной администрации в Германии «Теглихе рундшау» опубликовала статью В. |Хариха с критикой Г. Лукача, незадолго до этого выступавшего в Веймаре на торжествах по случаю 200-летия со дня рождения И.
013.≉ 6) См|. прежде всего статью: └Танков А|.
013).≉ ≈■≉ ≈[566] Требуются в| отъезд ведьмы, буки, бабы-яги, кощеи бессмертные, гномы и кобольды на оклад жалованья от 120 рублей и выше|.
0131), как нельзя «требовать от всех произведений словесности изящества или| нравственной цели» (там же, с.|
0133); можно отметить и| отличный комментарий к стихотворению “Я русской, я люблю молчанье дали мразной…” (|с.
015 Нет, такое обращение к известнейшему сюжету, который преодолел «идеологический барьер» |революции, остался в школьных программах и стал излюбленной основой для любительских постановок в школах (см., например, «Педагогическую поэму» А.С|.
017 ноября того же |года Е. С. сделала запись: «Вечером| приехала Ахматова.
017-23 августа [http|://www.smotr.ru/pressa/maksimova|/max_gub.htm]).
0175| с.≉ ≈Поводок в руке: [Рец.|
01820 года, марта 26, Великая пятница”.≉ ≈В контексте конкретной ситуации эта надпись |не имела того символического и “расширительного” |смысла “передачи лиры”, который ей впоследствии придавался.
0185-197|.≉ ≈[38] См. описание в: └Semmler-Vakareliyska| Cynthia.
02| (Ю. Голышан, В. Харламов)|.
0238) └По Э. ┘Из| цикла “Колокольчики и колокола” (“Слышишь: к| свадьбе звон святой…”); └Эспронседа Х.
0240), то Незнайка делает себя героем стихотворных текстов «своих» поэтов: «Про меня даже поэт Цветик… есть у нас такой| поэт… стихи сочинил: “Наш Незнайка шар придумал…” Или |нет: “Придумал шар Незнайка наш…” Или нет: “Наш шар придумал Незнайка…” Нет, забыл!
03 (Т. Батушкина).≉ ≈|Ни о времени, ни о себе // СК|.
0461) |богатого офицера Сержа и его |содержанки – француженки Жюли.
06 (И. Балашова|).≉ ≈Пусть бой им только снится… // |МП.
06|.≉ 23) Подробнее об этом см.: Романов П.|, Суворова М.
069), а в «Тайных пороках академиков» (1916) говорил: «|Не было ни одного стиха подобного лихой рубке подобного| <так!> будетлянскому» (Там же.
07 (О. Калинова|).≉ ≈ Скрипка и немножко нервно // К|.
070.≉ ≈16) └Лотман М.Ю.┘ “На смерть Жукова” (1974).≉ ≈17) └Лосев Л.┘ |Английский Бродский // Часть речи: Альманах литературы |и искусства.
080); “у окуня ли екнут плавники” (где ж это видано, чтобы у окуня екали плавники, а |однако же, екают: “невозможно”, а “понятно” – см. |с.
0russ|.ru/krug/20031118_dk.html.|
0Universum |versus: Язык – стих■– смысл в |русской поэзии ХVIII–ХХ веков.
0А |если она “отвратительна, как руки брадобрея”?|
0А в недавно вышедшем толстом томе Рыбакова “Письмо живым людям” его публицистика занимает 160 страниц| из 780.≉ ≈В статьях, перепечатанных в рецензируемой книге, Рыбаков заявляет, что “радоваться распаду” (СССР) – оксюморонное сочетание, сравнимое с фразами типа “Нужно уважать падаль” |и “Гниды тоже люди” и т.д.
0А в| истории европейского «самоконтроля» Норберта Элиаса тело если не всегда на |виду, то всегда в подтексте.
0А ведь июнь 1965 года — жизнь, по сути, прошла целая.≉ ≈Но сейчас совсем другая поросль — ты не узнаешь просто 17-летних: по сравнению с тем, кем| были мы.≉ ≈На одном полюсе терпеливое изучение языков, Интернета, специальности — чтобы поступить в фирму |и позволять себе всякие радости.
0А великое произведение |Древней Греции, без которого немыслимо сознавать себя сколько-нибудь причастным к истокам европейской цивилизации, в результате творческого подвига Гнедича получило в России широкое распространение”|.≉ ≉ Пленившись этим искрометным сочинением Федота Федотовича, я написал маленькое предисловие к нему:≉ “От издателя≉ Предлагаемая читателю “Мини-история” не есть “краткий курс” истории русской литературы, не есть и ее конспект.
0А вставляют его, |день-то этот, в феврале, и стих |есть такой…”≉ Смешно?
0А если |попробовать «бить на жалость»?|
0А начинается стихотворение обращением к| Чехии и Испании: “О Чехия в слезах|!
0А не то придут бомжи…”, “Да, азиаты мы”, “Да, скифы мы…” или, как вариант, “Не “скифы” мы, а евразийцы” (С. Лавров в газете “Правда”) и т. п. Самая актуальная для газетчиков 1991–1995 гг. |строка Блока: “И вечный бой|!
0А о том, что он сознавал его вписанным именно в такую поэтику, и говорит концовка стихотворения “Наполеон”, оформившая совершенно определенный жанр, который заставил поэта, подготавливая рукопись к печати, выбросить из |нее строчки и строфы, написанные, когда его| замысел сквозь “магический кристалл” только вырисовывался, был не слишком четким.≉ Не по цензурным соображениям, как решили текстологи, а руководствуясь художнической логикой, изъял Пушкин из рукописи приведенные мною строки.
0А подзаголовок “Фантазия по произведениям Гоголя” актуализирует украинский пласт с его апологией фантастики, одновременно цитируя либретто тыняновской “|Шинели”, где “фантазия” также выступает подобием жанрового определения 10 .|
0А празднование по решению ЮНЕСКО 21 марта Всемирного Дня поэзии Фонд Творческих Проектов отмечает ежегодным Фестивалем молодых поэтов.≉ ≈@@@@@@@@@@@ Помимо литературных программ, |ФТП разрабатывает и поддерживает также образовательные |инициативы.
0А самое главное, далее на протяжении почти тысячи страниц Быков настойчиво пытается нас убедить, что никакого конфликта со временем и с эпохой у Пастернака никогда не| было, что он жил “заодно с правопорядком” |и т.д.
0А самое главное, далее на протяжении почти тысячи страниц Быков настойчиво пытается нас убедить, что никакого конфликта со временем и с эпохой| у Пастернака никогда не было, что он жил “заодно с правопорядком” и т.д.” ≉ Поясняю Евгении Ивановой, что |существуют такие понятия, как “контраст” и “контекст”.
0А стало быть, и решения по-прежнему нет.≉ ≈Вольность не| может предотвратить бунт.≉ ≈Зачем же пишет он свою книгу?≉ ≈■≉ ≈Книга≉ ≈■≉ ≈В |дневнике А. Никитенко, как реакция на герценовскийконволют, зафиксировано общее представление, как «Путешествие» явилось в свет: «Радищев – человек умный и с характером, несмотря на бездну пустословия в его сочинении и на желание блистать красноречием.
0А сторонников “искусства для жизни” сейчас называют “культурологами” , и вот для них-то интерес к “Аполлону Бельведерскому” отнюдь не отменяет интерес к “печному горшку”, ибо |и то, и другое является разными иерархическими уровнями выражения одной и| той же культуры.
0А тем более, |не в том, чтобы убедить (а если потребуется, то |и заставить!
0А то, что она “в семье своей родной / Казалась девочкой чужой”, говорит о ее потребностях, какие не могла удовлетворить ее семья, быт которой так выразительно обрисован Пушкиным в романе: ≉ ≈Они хранили в жизни мирной≉ ≈Привычки милой старины;≉ ≈У них на масленице жирной≉ ≈Водились русские блины.≉ ≈…………………………………≉ ≈……………………………………≉ ≈……………………………………≉ ≈……………………………………≉ ≈……………………………………≉ ≈……………………………………≉ ≈……………………………………≉ ≈Им квас как воздух был потребен,≉ ≈И за столом у них гостям≉ ≈Носили блюда по чинам.≉ ≉ |Понимаю возможное недоумение читателей (и Коржавина |в их числе).
0А уж “Домик в Коломне” “величавым” и вовсе не назовешь – неужели на этом основании можно |им пожертвовать?≉ ≉ Величие замысла≉ ≉ В двух из трех писем Ахматовой к Бродскому в деревню Норенское упомянута известная фраза Бродского; Ахматова пишет: “И снова всплыли спасительные слова: “Главное это величие замысла””, “И в силе остаются |Ваши прошлогодние слова: “Главное – это величие замысла”” 1 ■.
0А это значит, что в данный момент Борис не оправдывается, как думает Непомнящий, не |перекладывает свою вину на «других», а дает выговориться| изматывающей его совести.
0А я, когда мне не было и шестнадцати лет, занялся политикой» 6■ .≉ ≈Сказано достаточно ясно.≉ ≈Любил он эту свою «законную» или оставался в браке с ней по велению долга, но факт остается фактом: на протяжении всей его жизни политика оставалась для него «второй профессией», занимавшей в его жизни не меньшее место, чем литература.≉ ≈Само| собой, это не могло не сказаться и на стилистике по крайней мере некоторых его писем.≉ ≈Стиль Эренбурга, как мы знаем, резко индивидуален.|
0А| ведь что главное для поэта?|
0Абсолютная философия должна быть тождеством реализма и идеализма, как таковая, она имеет дело не с идеями, о которых (во множественном числе) толкует автор ППД, но с Идеей, которая живет отталкиванием от того, что Идеей не является, хотя и имманентно, внутренне присуще самой| Идее.≉ Толковать о множестве идей, которыми одержимы герои Достоевского, нелепо, как нелепо при выдвижении и утверждении тезиса| Самосознания придерживаться представления о разрыве формы и содержания и при этом не желать вдаваться в содержание идей.
0Автор (Быков|) видит мистику в том, что Горький, странным образом, жил на девять дней больше, чем предвещали |ему врачи.
0Автор |ведь заострял наше внимание на кувшине с брусничной |водой, который поставила для гостей Ларина.
0Автора газетной клеветы, будь тот мужчиной, |Пушкин вызвал бы на дуэль.≉ ≈■≉ ≈|3.
0Авторы отдела культуры газеты “Коммерсантъ” — например, Катя Деготь и Аркадий Ипполитов, во всем буквально противоположные, |одна — за авангард, другой — за классику, сами| того, конечно, не подозревая, делали общее дело — отмывали “Чару”.
0Адрес|, прямо скажем, не слишком |конкретный.
