13 (В. Кожемяко).≉ ≈|Если звезды зажигают, значит, это кому-нибудь| нужно // МП.
1Сама постановка вопроса: «|Тварь я дрожащая или право имею?|» – лукавый эвфемизм, точнее, эвфемизмом является вторая часть дихотомии.
1Само заглавие материала демонстрирует устойчивую "вертикальную" модель, восходящую к самым истокам ленинского мифа (в котором Ленин был, несомненно, "иерархическим верхом", а воспринимающее сознание - "низом": "|я себя под Лениным чищу…|"), однако опрос показывает, что представление о взаимодействии "нас" и "Ленина" из вертикально-иерархического стало явно превращаться в паритетное, "горизонтальное".
1Самое известное упоминание этой фамилии в русской литературе – державинская ода “На смерть князя Мещерского”: “|Сын роскоши, прохлад и нег, / Куда, Мещерской|!
1Самойлова в послевоенной литературе («поэт», легитимный, в отличие от Бродского; наследник ушедших гениев, последним из которых для него была Ахматова, – «|Вот и все, смежили очи гении…|»).
1Самый известный пример – разговоры о поэте, |который в России “больше, чем поэт|”.
1Сборник строится по| принципу: "таракан, таракан, тараканище!|".
1Св. Савы, Либертивилль, США≉ ≈ Марианна Гейде — поэт (└Время опыления вещей┘, 2005), прозаик, филолог≉ ≈ Данила Давыдов — поэт (└Кузнечик┘, 1998; └Добро┘, 2002, и др.), прозаик (└Опыты бессмертия┘, 1999), литературный критик≉ ≈ Борис Дубин — социолог (└Слово — письмо — литература┘, 2001; └Интеллектуальные группы и символические формы┘, 2004, и др.), филолог, переводчик, ведущий научный сотрудник Аналитического центра Юрия Левады≉ ≈ Галина Зверева — историк, профессор, заведующая кафедрой истории и теории культуры РГГУ≉ ≈ Борис Кагарлицкий — социолог, журналист, публицист (└Диалектика надежды┘, 1988; └The Return of Radicalism┘, 2000; └Периферийная империя┘, 2004, и др.), директор Института проблем глобализации≉ ≈ Николай Кононов — поэт (└Лепет┘, 1995; └Змей┘, 1998; └Поля┘, 2004 и др.), прозаик (└Похороны кузнечика┘, 2000; └Нежный театр┘, 2004, и др.) ≉ ≈ Максим Кронгауз — филолог (└Семантика┘, 2001, и др.), профессор, директор Института лингвистики, заведующий кафедрой русского языка РГГУ≉ ≈ Наталья Курчатова — поэт, журналист, редактор журнала «TimeOut Петербург»≉ ≈ Майя Кучерская — прозаик (└Современный патерик┘, 2004), журналист, филолог, доцент, заместитель заведующего кафедрой словесности ГУ — Высшая школа экономики≉ ≈ Виктор Лапицкий — переводчик, прозаик (└Борхес умер┘, 2000)≉ ≈ Ян Левченко — филолог, преподаватель Европейского университета в Санкт-Петербурге≉ ≈ Елена Петровская — философ, старший научный сотрудник сектора аналитической антропологии Института философии РАН, критик (└Непроявленное┘, 2002; └Антифотография┘, 2003, и др.) главный редактор журнала «Синий диван»≉ ≈ Давид Рифф / David Riff — искусствовед, арт-критик, член рабочей группы «|Что делать?»≉ ≈ Ольга Рогинская — филолог, докторант университета Тампере / Tampereen yliopisto, Финляндия≉ ≈ Андрей Россомахин — искусствовед, аспирант Европейского университета в Санкт-Петербурге, эссеист (└Заячья душа┘, 2002; └Кузнечики Велимира Хлебникова┘, 2004, и др.) ≉ ≈ Роман Рудица — композитор, музыкальный критик, пианист≉ ≈ Игорь П. Смирнов — филолог (└Порождение интертекста┘, 1985, и др.), философ (└Бытие и творчество┘, 1990, и др.), профессор Universitat Konstanz, ФРГ≉ ≈ Оксана Тимофеева — философ, аспирант Института философии РАН, член рабочей группы «Что делать|?»≉ ≈ Ревекка Фрумкина — филолог, ведущий научный сотрудник Института языкознания РАН, психолог (└Психолингвистика┘, 2001, и др.), мемуарист (└Внутри истории┘, 2002 и др.) ≉ ≈ Валерий Шубинский — поэт (└Сто стихотворений┘, 1994;└ Имена немых┘, 1998, и др.), литературный критик, журналист
1Св. Савы, Либертивилль, США≉ ≈ Марианна Гейде — поэт (└Время опыления вещей┘, 2005), прозаик, филолог≉ ≈ Данила Давыдов — поэт (└Кузнечик┘, 1998; └Добро┘, 2002, и др.), прозаик (└Опыты бессмертия┘, 1999), литературный критик≉ ≈ Борис Дубин — социолог (└Слово — письмо — литература┘, 2001; └Интеллектуальные группы и символические формы┘, 2004, и др.), филолог, переводчик, ведущий научный сотрудник Аналитического центра Юрия Левады≉ ≈ Галина Зверева — историк, профессор, заведующая кафедрой истории и теории культуры РГГУ≉ ≈ Борис Кагарлицкий — социолог, журналист, публицист (└Диалектика надежды┘, 1988; └The Return of Radicalism┘, 2000; └Периферийная империя┘, 2004, и др.), директор Института проблем глобализации≉ ≈ Николай Кононов — поэт (└Лепет┘, 1995; └Змей┘, 1998; └Поля┘, 2004 и др.), прозаик (└Похороны кузнечика┘, 2000; └Нежный театр┘, 2004, и др.) ≉ ≈ Максим Кронгауз — филолог (└Семантика┘, 2001, и др.), профессор, директор Института лингвистики, заведующий кафедрой русского языка РГГУ≉ ≈ Наталья Курчатова — поэт, журналист, редактор журнала «TimeOut Петербург»≉ ≈ Майя Кучерская — прозаик (└Современный патерик┘, 2004), журналист, филолог, доцент, заместитель заведующего кафедрой словесности ГУ — Высшая школа экономики≉ ≈ Виктор Лапицкий — переводчик, прозаик (└Борхес умер┘, 2000)≉ ≈ Ян Левченко — филолог, преподаватель Европейского университета в Санкт-Петербурге≉ ≈ Елена Петровская — философ, старший научный сотрудник сектора аналитической антропологии Института философии РАН, критик (└Непроявленное┘, 2002; └Антифотография┘, 2003, и др.) главный редактор журнала «Синий диван»≉ ≈ Давид Рифф / David Riff — искусствовед, арт-критик, член рабочей группы «|Что делать?»≉ ≈ Ольга Рогинская — филолог, докторант университета Тампере / Tampereen yliopisto, Финляндия≉ ≈ Андрей Россомахин — искусствовед, аспирант Европейского университета в Санкт-Петербурге, эссеист (└Заячья душа┘, 2002; └Кузнечики Велимира Хлебникова┘, 2004, и др.) ≉ ≈ Роман Рудица — композитор, музыкальный критик, пианист≉ ≈ Игорь П. Смирнов — филолог (└Порождение интертекста┘, 1985, и др.), философ (└Бытие и творчество┘, 1990, и др.), профессор Universitat Konstanz, ФРГ≉ ≈ Оксана Тимофеева — философ, аспирант Института философии РАН, член рабочей группы «Что делать|?»≉ ≈ Ревекка Фрумкина — филолог, ведущий научный сотрудник Института языкознания РАН, психолог (└Психолингвистика┘, 2001, и др.), мемуарист (└Внутри истории┘, 2002 и др.) ≉ ≈ Валерий Шубинский — поэт (└Сто стихотворений┘, 1994;└ Имена немых┘, 1998, и др.), литературный критик, журналист
1Сверх того, |как раз в тот год у меня завелся школьный приятель необычайного покроя: он главу за главой подробно конспектировал в толстые тетради “Войну и мир|”, на что я был завистливо неспособен.
1Свой, укорененный, обрусевший (как писал И. Тургенев в одной из лучших русских эпиграмм – на переводчика Шекспира: “|Перепер он нам Шекспира / На язык родных осин|”).
1Сентябрь 1936 – апрель 1937 ≉ ≈Две строчки в размере пушкинских «|Домового ли хоронят, / Ведьму ль замуж выдают|» возвращают нас к смерти Багрицкого.
1Сидевшая рядом со мной зрительница оплыла на стуле в натуральном обмороке <…> |Герцог сказал: “Ужасный век, ужасные сердца!|” - и скрылся за ширмой.
1Символически – как борьба за| право доказать, что ты лучший – потому|, что ты готов хлопать до смерти, что ты заслуживаешь право вырваться во временную бесконечность, где нет конца аплодисментам.
1Скажем, интонационный “|мотив вздоха” в финале каждого куплета песни “Еще не вечер|” интерпретируется Е.Р.
1Скрябин является последователем толстовского| учения непротивления злу насилием| и таким образом пытался уклониться от службы в Красной Армии; сама ГАХН стала прибежищем многочисленных “идеалистов шпетовской закваски” (поименно были упомянуты Габричевский, Жинкин, Лосев, Цирес, Недович); а во главе этой реакционной “цитадели” антимарксизма находится сам Шпет 9 .
1Слова “все поэты Шара” 16 отсылают к тексту В. Хлебникова “|Воззвание председателей земного шара” и стихотворению С. Орлова “Его зарыли в шар земной…|”, и связи эти – не поверхностные.
1Слова Пушкина: “|Высокой страсти не имея // Для звуков жизни не щадить…|” — нечто большее, чем избитая метафора» (с.
1Слово “простота”, которое задолго до самого Пастернака Степанов применил к его поэзии, означает не совсем то, что вложит в него Пастернак “Второго рождения”, - “|Нельзя не впасть к концу, как в ересь, / В неслыханную простоту|”.
1Слово прочитывается героем “Кыси” буквально, оказывается носителем обыденной, бытовой, часто нелепой в этой буквальности информации: так, в русской песне “Степь да степь кругом…” Бенедикт, в соответствии со своим примитивным мышлением, распознает только очередную угрозу книжным богатствам (“Чего его в степь-то понесло, если не книгу прятать?”), равно как и поэтические строки Б. Пастернака “|Февраль: достать чернил и плакать…|” он трактует с позиций собственного житейского опыта: “А ведь лишний день - это и работа лишняя, и налоги лишние, и всякая людская тягота, хоть плачь!
1Слоган “|Рукописи не горят!|” очень скоро сменился на рекламных растяжках слоганом “Хранить вечно”, и экранизация “В круге первом” (“Россия”) включилась в вынужденную конкуренцию с новой телеверсией “Золотого теленка” (Первый канал).
1Случай с “Филантропом” интересен тем, что имеются документы, позволяющие более-менее подробно проследить возникновение слуха о скрытом смысле произведения и его направленности.≉ ≈10 января 1860 года Некрасов должен был читать на вечере в пользу нуждающихся литераторов стихотворения “|Еду ли ночью по улице темной…|” и “Филантроп”, о чем было заранее объявлено.
1Смеляковский девиз он сменил на гудзенковское пророчество: “|Мы не от старости умрем, от старых ран умрем|”.
1Смотрите, как на мне топорщится пиджак”), он же, подчеркивающий в 1924-м свою а-современность (“|Нет, никогда, ничей я не был современник, / Мне не с руки почет такой”), и, казалось, нарочито бравирующий своей несовременностью Пастернак (“Какое, милые, у нас / Тысячелетье на дворе?|”) – оба 1) современники; 2) современны – и тогда, когда процитированные строчки были написаны, и сейчас.
1Смысл его пространного комментария в ЖЖ можно свести к известной фразе| Ленина: “Очень своевременная книга|”.≉ ≈Книга и в самом деле “своевременная”, актуальная, но имеет ли право писатель эксплуатировать в своих целях чеченскую тему?
1Сначала стихи “|записываются” в уме, и вы потом переносите их на бумагу или в компьютер, то есть пишете их сразу набело, или – черновики?≉ ┘ – Стихи не пишутся когда угодно|, по желанию.
1Собралось несколько друзей <…> ≉ ≈…Он раскрыл свою рукопись и произнес первую фразу своей повести:≉ ≈«|Он поет по утрам в клозете|».≉ ≈Хорошенькое начало!≉ ≈Против всех ожиданий именно эта криминальная фраза привела редактора в восторг.
1Собственно то, что Топоров понимает под «историческим напряжением внутри мифа», становится понятным из следующего утверждения:≉ ≈■≉ ≈«|Эта двуполюсность Петербурга… наиболее полно и адекватно отражена как раз в петербургском тексте русской литературы, который └практически свободен от указанных выше недостатков|┘ [то есть от конкурирующих идеологических позиций, использующих Петербург как символический аргумент в своей борьбе.
1Совсем по-другому звучит «Пора, мой друг, пора!», где уже нет надежды на возможность счастья и где появляются мотивы жажды покоя, побега от «мышьей беготни» земной жизни «|в обитель дальную трудов и чистых нег|».
1Создается впечатление, что исследователь представляет себе творческий процесс весьма упрощенно: не как интуитивное, в основе своей подсознательное, развитие и движение поэтического замысла, зачастую неожиданное для самого творца (“|Представь, какую штуку удрала со мной моя Татьяна|!
1Соловьев критиковал “бессмысленность” брюсовских строк, в которых “|Всходит месяц обнаженный / При лазоревой луне|”, то это было, по сути, неприятие принципа монтажа, то есть принципа неожиданного сопоставления образов, который (правда, спустя три десятилетия) у С.М.
1Соловьева (тоже порой им отрицаемого), который так помянул поэта:≉ ≈Восторг души - расчетливым обманом,≉ ≈И речью рабскою - живой язык богов,≉ ≈Святыню мирную - крикливым балаганом≉ ≈Он заменил и обманул глупцов [30] .≉ ≈Образ Некрасова-обманщика присутствует и в “Опавших листьях”: “|Да, я тоже думаю, что русский прогресс, рожденный выгнанным со службы полицейским и еще клубным шулером, далеко пойдет:≉ ≈Сейте разумное, доброе, вечное.≉ ≈Сейте|.
1Сопоставление собственного “дара” с “гениальностью” Дельвига можно было бы принять за иронию, если бы мы не понимали, что здесь имеем дело с преувеличением, вызванным любовью к другу.≉ Таким образом, две эти затверженные нами строки – “|Служенье муз не терпит суеты; / Прекрасное должно быть величаво…|” – характеризуют в стихотворении творческую установку Дельвига, а не Пушкина, который, оказывается, никак не соответствует собственному идеальному представлению о должном.
1Соснора полемически снижает традиционносимволическое уподобление поэта птице, при этом гусь оказывается мучителем, он замещает собой орла, клюющего печень Прометею (через две строки у Сосноры упоминается и печень), и орла из стихотворения Пушкина “Узник” (“|Сижу за решеткой в темнице сырой|.
1Сочетание крайней ничтожности и предельной значимости проступает у Державина в “Боге” (“|Я царь – я раб – я червь – я бог!”[12]); самоумаление автора можно найти у Пушкина в “Поэте” (“И меж детей ничтожных мира, / Быть может, всех ничтожней он|”[13]).
1СПб., 1993.≉ ≈ |4 └Сарнов Б. ┘«…И где опустишь ты копыта|?» // Вопросы литературы.
1Ср., например, у Пушкина: ≉    ≈|Если жизнь тебя обманет, ≉ ≈Не печалься, не сердись|!
1Сразу вспоминается: “|На Севере диком стоит одиноко / На голой вершине сосна|…” Образ тучки, плывущей по небу, также несет в себе для русского читателя лермонтовскую ассоциацию, столь прочную, что, видимо, по этой причине Заяицкий отказался от эпитета.
1Сразу после| рождения мы попадаем в семинарию, которая уже была готова к воспитанию вождя: «Семинария являлась тогда [в 1894 году] рассадником всякого рода освободительных идей|» (т. 41, ч.
1Среди гостей был киевский поэт Юрий Каплан, |которому по наследству от поэта Леонида Вышеславского достался будто бы переданный тому переводчиком и футуристом Григорием Петниковым титул Председателя Земного Шара|.
1Среди источников – ломоносовское “|Открылась бездна, звезд полна, звездам числа нет, бездне дна” и “А если что и остается чрез звуки лиры и трубы|…” Державина.
1Среди таких источников оказываются и «Идиот» Достоевского (сварливую жену Ивана Звягинцева зовут Настасьей Филипповной), и «Женитьба» Гоголя (монолог Агафьи Тихоновны «|Если бы губы Никанора Ивановича да приставить к носу Ивана Кузьмича <…|>» и слова старшины Поприщенко, фамилия которого напоминает о гоголевском сумасшедшем Поприщине, про то, что если бы превратить в тесто Петра Лопахина и Николая Стрельцова, то мог бы получиться один настоящий человек), и чеховский «Вишневый сад» с его Лопахиным.
1Стало быть, не как мальчик же я верую во Христа и его исповедую, |а через большое └горнило сомнений ┘моя └осанна ┘прошла, как говорит у меня же, в том же романе, черт|” [27, 86].≉ В “Карамазовых” эта принципиально важная для автора мысль - “Но для жизни мало одной “осанны”, надо, чтоб “осанна”-то эта переходила через горнило сомнений” - действительно доверена Иванову черту, его ночному кошмару, которому автор, вслед за героем, мог бы бросить в раздражении: “Ты моя галлюцинация.
1Стало быть, отсюда проходил в амфитеатр Понтий Пилат… Всадник Золотое Копье, он, конечно, и в зрелом возрасте отлично держится верхом, но сюда он приходит пешим, в сопровождении преданных солдат охраны, по пути с наслаждением вдыхая легкий влажный ветер с моря, - резиденция прокуратора рядом… Отодвинувший исторического, знакомый нам булгаковский Пилат, уже чуть лысеющий, |в белом плаще с кровавым подбоем, так и не сумевший сделать Левия Матвея библиотекарем…≉ ≈«Так вот, мне хотелось └показать вам вашего героя|┘», - говорит Воланд.
1Становится понятным, почему автор начинает и завершает пьесу рефреном пушкинского: “|У лукоморья дуб зеленый, / Златая цепь на дубе том / И днем и ночью кот ученый / Все ходит по цепи| кругом.
1Статья Дэвида Слоана «Наследие Пушкина в “|Анне Карениной”» посвящена связям романа с началом незавершенного произведения Пушкина «<Гости съезжались на дачу|>», но не только и не столько сюжетным параллелям (этому уделялось внимание и раньше), сколько специфике изображения микрокосма у Пушкина и Толстого: «”Анна Каренина” – это роман о распаде общества на изолированные группы, утратившие общие ценности» (IV, с.
1Стих это допускает, а проза – нет, в предложении не так много логических ударений, часто одно, и поневоле приходится выбирать – выхожу один (а не с кем-то) |я на дорогу, выхожу один я на дорогу| (а не куда-то еще) и т.д.
1Стихотворение завершается житейской мудростью: ≉   ≈<…>≉ ≈Что слава, счастье нам прямое – ≉ ≈Жить с нашей совестью в покое [73].≉   ≈В знаменитой неоконченной “грифельной” оде “|Река времен в своем стремленьи…|”, начало которой Державин написал за три дня до смерти, он снова возвращается к теме ничтожной славы – на этот раз окончательно и бесповоротно [74].
1Стихотворение заслуживает того, чтобы его припомнить и медленно, внимательно перечитать.≉ ≈@≉ ≈Пускай моя любовь как мир стара, –≉ ≈лишь ей одной служил и доверялся≉ ≈я – дворянин с арбатского двора,≉ ≈своим двором введенный во дворянство.≉ ≈За праведность и преданность двору≉ ≈пожалован я кровью голубою.≉ ≈Когда его не станет – я умру,≉ ≈пока он есть – я властен над судьбою.≉ ≈Молва за гробом чище серебра≉ ≈и вслед звучит музыкою прекрасной…≉ ≈Но не спеши, фортуна, будь добра,≉ ≈не выпускай моей руки несчастной.≉ ≈Не плачь, Мария, радуйся, живи,≉ ≈по-прежнему встречай гостей у входа…≉ ≈|Арбатство, растворенное в крови,≉ ≈неистребимо, как сама природа.≉ ≈Когда кирка, бульдозер и топор≉ ≈сподобятся к Арбату подобраться≉ ≈и правнуки забудут слово «двор|» –≉ ≈согрей нас всех и собери, арбатство.≉ ≈■≉ ≈Первое, что обращает на себя внимание, – это противоречие между словами «арбатский двор», с одной стороны, и названием стихотворения и словами «как мир стара», с другой.
1Стоит нам| вырваться на волю, в| леса – счастью его не бывает предела.
1Стой на своих ногах, а не≉ ≈|Что ему книжка последняя скажет,≉ ≈То на душе его сверху и ляжет| (Некр.
1Строка Евгения Евтушенко «|над Бабьим Яром памятника нет|» могла бы стать эпиграфом к характеристике мест памяти о Холокосте в СССР.
1Строфа по сравнению с “Полем Бородина” сокращена, отброшено начальное четверостишие и с ним возможность ассоциаций с одической строфой, оставшиеся оригинальные и компактные семистишия часто выделяют укороченный последний, седьмой стих после тройной рифмы (затягивание перед лапидарной концовкой): “Все побывали тут”, “Гора кровавых тел”, “Слились в протяжный вой…” Первая из трех батальных строф посвящена атакующим французам, вторая (“|Вам не видать таких сражений!..|”) - кульминации битвы, когда бойцы и кровавые тела перемешались между собой и говорится обо всех сражающихся, русских и французах, без их разделения; третья строфа продолжает вторую, но в ее начале вновь называется враг, который теперь получил заслуженное: “Изведал враг в тот день немало, / Что значит русский бой удалый”.≉ В рассказе “дяди” есть элемент его солдатского “профессионализма”.
1Судите сами:≉ ≉ ≈“|В чертах у Ольги жизни нет.≉ ≈Точь в точь в Вандиковой Мадоне:≉ ≈Кругла, красна лицом она,≉ ≈Как эта глупая луна≉ ≈На этом глупом небосклоне|””20■.≉ Но глупая луна и глупый небосклон явно родственны “глупым” местам, обруганным Онегиным, и свидетельствуют о его желчности, вызванной недомоганием.
1Сумароков ставил себя рядом с Вольтером, Карамзин утверждал, |что главное – быть людьми, а не славянами|.
1Сходство между некоторыми строками можно указать вполне отчетливо:≉ ≈■≉ ≈|@Мы живем, под собою не чуя страны,≉ ≈@Наши речи за десять шагов не слышны≉ ≈■≉ ≈@Там припомнят кремлевского горца≉ ≈■≉ ≈@А вокруг него сброд тонкошеих вождей|≉ ≈■≉ ≈@Что ни казнь у него, то малина.≉ ≈■≉ ≈Ср.
1Схожую мысль высказывает и один из персонажей “Бесов”, Шигалев: “|Выходя из безграничной свободы, я заключаю безграничным деспотизмом|”; при этом Шигалев напрямую упоминает Платона: “Платон, Руссо, Фурье, колонны из алюминия, все это годится разве для воробьев, а не для общества человеческого”.
1Счастье от книг – это то, о чем Пушкин писал в одном из лучших стихотворений: «|Порой опять гармонией упьюсь, Над вымыслом слезами обольюсь|» 54 .
1Так Ахматова отвечала молодежи, |наскакивавшей на нее с собственными версиями непрожитого ими прошлого: “Вас здесь не стояло|”.
1Так ведь поэзия вообще — вспомню, в который раз, |гениальную формулу Ломоносова — “сопряжение далековатых идей|”, а уж нынче-то, в рамках постмодернистской парадигмы, мы, по определению, можем сопрячь и сблизить что угодно с чем угодно…≉ ≈5) Более подробно см.: └Кузьмин Д. ┘“Вавилон” будет торжественно закрыт в феврале 2004 года // http://www.
1Так его революционный путь, начавшийся с торжественного призыва: “Хвалите Бога!” (“|Певущий зов”), увенчался не менее торжественным богохульством: ≉ ≈■≉ ≈Тело, Христово тело,≉ ≈Выплевываю изо рта.|≉ ≈.
1Так его употребляет, например, П. А. Вяземский в стихотворении «Станция» (одна из строк которого, как известно, – в несколько искаженном виде – послужила эпиграфом к пушкинскому «Станционному смотрителю»):≉ ≈■≉  ≈Досадно слышать: «Sta, viator!»≉ ≈Иль, изъясняяся простей: ≉ ≈«|Извольте ждать, нет лошадей», –≉ ≈Когда губернский регистратор, ≉ ≈Почтовой станции диктатор| ≉ ≈(Ему типун бы на язык!
1Так сделано в его двухтомнике 1997 года, куда вошли опять же две его статьи: “|Фантаст в России больше чем поэт|” (1994) и “Научная фантастика как зеркало русской революции” (1995).
1Так, |одно из самых известных стихотворений поэта «Бобэоби пелись губы…|» представляет собой комбинацию нерифмованных строк трех силлабо-тонических размеров [11] :≉ ≈ ■ ≉ ≈ * * * ≉ ≈1.
1Так, в книге Михаила Бахтина о средневековой народной культуре нередко упоминается гротескное тело и то, |что автор характеризует как «материально-телесный низ|».
1Так, в рассказе “Белая” ожившая мумия Аси Тургеневой, жены Андрея Белого, преследует героиню, целясь в нее лучом из пальца – наивный фильм ужасов тут же приходит на ум, что и подтверждает рассказчик буквально на следующей странице в духе “|читатель ждет уж рифмы розы…|”: “…я вытянула руку вперед, и мне в глаз вонзился зеленый луч.
1Так, например, известный текст песни «|Жил-был у бабушки серенький козлик» был переосмыслен П. Ряполовским в таком виде:≉  ≈Жил-был у бабушки≉ ≈Серенький козлик,≉ ≈Вот так, вот сяк|!≉ ≈Серенький козлик.≉ ≈Захотелося козлику≉ ≈В лес пойти гулять.≉ ≈Вот так, вот сяк,≉ ≈В лес пойти гулять…≉ ≈ПРИПЕВ≉ ≈Вот так≉ ≈Тюфяк!≉ ≈Вот так≉ ≈Чудак,≉ ≈Вот так≉ ≈Казак!≉ ≈Вот так≉ ≈Тесак [38] .
1Так, например, не исключено, что рифму «|радия — ради» в строфе — ≉ ≈■≉ ≈— Поэзия —≉ ≈            та же добыча радия.≉ ≈В грамм добыча, ≉ ≈                 в год труды.≉ ≈Изводишь ≉ ≈           единого слова ради ≉ ≈тысячи тонн≉ ≈             словесной руды —≉ ≈ ≉ ≈из «Разговора с финиспектором о поэзии|» (1926) поэт подсмотрел в написанном в эмиграции и посвященном Н. Гончаровой и М.■Ларионову стихотворении В. Парнаха «Радий»:≉ ≈■≉ ≈Один только грамм≉ ≈Радия≉ ≈Взорвет весь земной шар≉ ≈Планетных сил исчадие!≉ ≈Мирам≉ ≈Бешеный нанеси удар!≉ ≈Юля≉ ≈Веселая пилюля≉ ≈Пронзит всю землю до оси≉ ≈Тля≉ ≈Сверхестественная пуля≉ ≈Допотопные вулканы снеси!≉ ≈Дух вселенной захватывает≉ ≈Разрежь взрывчатый О какой ветр≉ ≈Славный запах!
1Так, образ, восходящий к “плантеновскому” циркулю, образует смысловой центр стихотворения, стягивающий вокруг себя разнообразные смыслы, эмблема порождает ряд ветвящихся смысловых цепочек.≉ ≈“Эхо” этой эмблемы мы можем обнаружить и в другом стихотворении Мандельштама – из цикла “|Восьмистишья”: ≉   ≈Скажи мне, чертежник пустыни,≉ ≈Арабских песков геометр,≉ ≈Ужели безудержность линий≉ ≈Сильнее, чем дующий ветр?≉ ≈– Меня не касается трепет≉ ≈Его иудейских забот –≉ ≈Он опыт из лепета лепит≉ ≈И лепет из опыта пьет…≉ ≈	(└ноябрь 1933 – январь 1934┘)≉   ≈В “Чертежнике пустыни|” после вышесказанного мы легко узнаем Бога – в той его ипостаси, что держит в руке циркуль [44].
1также в дневниках О. Сетницкой 28 марта 1953 года (|обратим внимание — в непосредственной близости к дням смерти Сталина): «”Дыр бул щыл|” — выражение русского национального языка.
1Также симптоматично, что в романе “Идиот” поэтическая надпись на памятнике, поставленном, согласно шутливому вымыслу Лебедева, над его “схороненной” в 1812 году ногой, отстреленной одним французским “шассером”, в точности повторяла эпитафию на могиле матери Достоевского - стихи Н. Карамзина: “|Покойся, милый прах, до радостного утра|”.
1ТАКИ| Я ЖИЛ ТОГДА В ОДЕССЕ… ≉ ≈■≉ ≈Население в Одессе сменилось, но с уникальным языком этого филологического заповедника пока все в порядке: городская газета называется «Или?|».
1Такие идеи в современном мире стали переоценивается как своего рода архаический “|рудимент”, как репрессивный фактор, подавляющий светлые идеи персональной свободы и удовольствия.≉ И тут мы попадаем в| определенный политический тупик.
